part,category,url,status,file
sn74hc597,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc597.pdf,wget_failed(8),/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc597.pdf
sn74hc688,Logic_74HC,https://www.ti.com/lit/ds/symlink/sn74hc688.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_74HC/sn74hc688.pdf
cd4011b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4011b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4011b.pdf
cd4012b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4012b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4012b.pdf
cd4013b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4013b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4013b.pdf
cd4015b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4015b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4015b.pdf
cd4017b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4017b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4017b.pdf
cd4020b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4020b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4020b.pdf
cd4021b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4021b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4021b.pdf
cd4022b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4022b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4022b.pdf
cd4023b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4023b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4023b.pdf
